ID,Length,GC_Content,Description
NZ_AP012324.1,2269415,58.89,"NZ_AP012324.1 Bifidobacterium breve DSM 20213 = JCM 1192 chromosome, complete genome"
NZ_AP012325.1,2079525,56.2,"NZ_AP012325.1 Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 strain JCM 1194 chromosome, complete genome"
NZ_AP012325.1,2079525,56.2,"NZ_AP012325.1 Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 strain JCM 1194 chromosome, complete genome"
NZ_AP012330.1,2313752,56.38,"NZ_AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 strain JCM 1200 chromosome, complete genome"
NZ_AP012330.1,2313752,56.38,"NZ_AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 strain JCM 1200 chromosome, complete genome"
NZ_AP012326.1,2635669,58.54,"NZ_AP012326.1 Bifidobacterium dentium JCM 1195 = DSM 20436 strain JCM 1195 chromosome, complete genome"
NZ_AP012326.1,2635669,58.54,"NZ_AP012326.1 Bifidobacterium dentium JCM 1195 = DSM 20436 strain JCM 1195 chromosome, complete genome"
NZ_AP012331.1,3158347,64.63,"NZ_AP012331.1 Bifidobacterium scardovii JCM 12489 = DSM 13734 strain JCM 12489 chromosome, complete genome"
NZ_AP012331.1,3158347,64.63,"NZ_AP012331.1 Bifidobacterium scardovii JCM 12489 = DSM 13734 strain JCM 12489 chromosome, complete genome"
NZ_AP012332.1,1667406,41.36,"NZ_AP012332.1 Gardnerella vaginalis ATCC 14018 = JCM 11026 chromosome, complete genome"
NZ_AP012332.1,1667406,41.36,"NZ_AP012332.1 Gardnerella vaginalis ATCC 14018 = JCM 11026 chromosome, complete genome"
NZ_AP012333.1,1890857,58.31,"NZ_AP012333.1 Parascardovia denticolens DSM 10105 = JCM 12538 chromosome, complete genome"
NZ_AP012333.1,1890857,58.31,"NZ_AP012333.1 Parascardovia denticolens DSM 10105 = JCM 12538 chromosome, complete genome"
NZ_CP017695.1,1978157,63.34,"NZ_CP017695.1 Bifidobacterium pseudolongum subsp. globosum DSM 20092 chromosome, complete genome"
NZ_CP017695.1,1978157,63.34,"NZ_CP017695.1 Bifidobacterium pseudolongum subsp. globosum DSM 20092 chromosome, complete genome"
NZ_CP017696.1,2190368,60.01,"NZ_CP017696.1 Bifidobacterium asteroides DSM 20089 chromosome, complete genome"
NZ_CP017696.1,2190368,60.01,"NZ_CP017696.1 Bifidobacterium asteroides DSM 20089 chromosome, complete genome"
NZ_CP062948.1,2965103,62.68,"NZ_CP062948.1 Bifidobacterium lemurum strain DSM 28807 chromosome, complete genome"
NZ_CP062948.1,2965103,62.68,"NZ_CP062948.1 Bifidobacterium lemurum strain DSM 28807 chromosome, complete genome"
